edad,educ,wage
36,5,2552.4246114678294
75,12,2682.53526262412
49,7,2826.5907477030373
62,9,2716.0191771817185
35,10,1728.6986911300542
28,14,2883.716933497124
18,2,1480.5158774428792
70,13,1678.3313024752285
65,11,1613.3401670201415
39,11,2575.666599078348
54,7,2459.4922424321667
48,4,1731.992727907656
67,2,2562.477153055641
65,10,2995.5162599223736
48,10,2309.6551499303737
44,2,3251.3827756175588
50,6,3037.801427598418
22,5,3051.870179441912
41,8,3393.0981034123256
73,5,1513.6920022712316
53,10,2214.813692682373
72,8,2706.0039700891293
41,6,2380.753250434589
33,11,3015.3692555130388
69,8,2291.763811565985
33,2,2787.054129034218
57,14,2326.496977726511
20,8,2267.3430215948947
27,7,2544.7863289431916
39,11,2305.338398863894
29,2,2436.943980590546
65,8,1268.7968276247775
37,6,2746.9620853420056
48,2,2628.6702904388408
18,11,2824.475981716477
29,2,2013.1590876115865
57,13,2427.7579176897757
68,1,1533.5047159349092
39,2,2886.930405705016
48,12,2892.342715334071
61,13,2409.7405295692583
54,1,2667.2243243032954
36,5,3035.9277788832915
37,4,2627.4353977854266
30,11,2881.15300302017
65,3,2607.822264442839
51,7,2530.5985626805023
68,5,2188.981883396199
49,2,2945.172617296846
60,1,2490.3575092064793
35,5,3033.693556029245
60,3,3275.0016614891088
40,7,1150.2920678593464
47,13,2741.6731215934897
31,4,2030.3494366559082
32,6,1466.7746506261415
26,3,2225.096101278131
69,8,3250.6929465499074
27,4,2508.8529252790854
62,5,2233.615164665039
46,4,2093.221797105473
72,14,2316.518563637598
32,11,3555.998935219194
72,11,2606.752244067185
40,4,2303.184455574249
50,5,2517.097122001226
47,11,2445.2348483850114
66,9,2684.3887704773147
22,14,3798.6202002754158
29,5,2054.7096637696745
52,7,2254.2103343249796
72,12,1680.935727817121
36,6,2564.0171404436833
34,11,2995.199119226373
63,11,1146.703135615477
32,13,2648.8016257021627
77,1,1905.67016226142
59,14,2433.951571685435
28,6,2301.4890195567855
51,13,1690.2633538336781
23,6,2096.797382770266
25,11,2080.375616078522
46,10,3273.771412188482
34,8,2276.965114419564
42,4,2478.9511998105368
72,11,2690.4124588771565
39,13,2368.565540525228
27,8,1003.2404004448229
63,8,1978.099147368719
28,6,2214.284987715444
19,10,2912.1950562911247
34,13,2790.975879802506
30,8,2720.408409123571
55,1,2509.388086423055
23,1,2229.562412856384
48,14,2459.0862704632364
66,10,2933.0920632757543
70,7,2985.4948318835386
69,8,2410.5686346864277
39,9,2705.90577127444
18,6,2144.527755752248
60,9,1438.7061345968054
52,1,2317.9505741372054
65,8,2325.6426025050932
39,1,2640.154447407558
42,5,3454.6071084338923
77,14,2166.9381418365824
66,7,2660.38057904164
77,7,2979.4770951381997
50,9,1073.8000470187062
18,2,2502.943154631786
67,2,2520.5677948633866
45,5,3385.2983964672667
68,10,1690.5893639870592
44,13,2401.1795337372023
66,14,1355.5305728130131
70,4,2067.4073337834684
43,5,3360.5749338839914
45,2,3507.6942563931034
38,3,2050.608822988524
73,14,2164.978253804276
39,10,2028.9875862377626
29,9,3252.9632542410204
26,14,2693.338508679587
70,12,2766.8438749538414
77,12,2945.3592992027866
61,4,2426.6325355135837
41,3,3153.8166377617126
50,11,3182.35514844691
70,6,1553.4686946060442
79,7,2673.233789737622
67,9,2178.4470989621163
45,4,2084.143335143109
68,6,2424.244235188497
78,12,2614.252443171207
49,9,1910.8505169725358
65,2,1427.482734517709
20,6,3361.5010285886037
64,14,2245.7298904528234
19,4,3023.256496493008
31,7,2462.255008285473
19,12,2868.3196819507502
77,12,2356.204519940113
22,9,1902.2387644983191
51,1,2448.5413879677476
19,13,1586.6100319478298
58,12,3337.8541304913447
33,1,1720.6265335307664
72,1,1878.7191905438794
78,14,2017.6045419386417
23,8,3018.404359908353
49,1,2248.7018339365086
76,4,2728.0137852906837
78,6,1911.6346916436764
63,5,2522.544606644873
45,4,2785.6041124475564
70,1,2811.774697203012
25,8,2571.396520853609
57,12,2421.9590632356853
73,4,3018.199375927549
39,12,2838.9301735477256
39,12,3139.417185383509
54,5,2428.161352278276
61,12,2135.2872954700824
23,10,2291.550458989977
26,12,2358.503117115642
19,13,1871.5259273118236
69,13,4150.148294912366
41,5,2529.2099741642005
75,14,2120.072020231677
72,6,2142.5422527165883
65,12,1905.7062976106524
73,11,3174.7984597426594
52,8,2918.824247299814
46,7,1877.8938047042
18,9,2768.6790095159363
54,14,2131.5718459984396
56,11,2280.207846707216
28,12,2688.5076171965075
26,13,3353.153587114762
22,11,2448.9857213765745
38,10,3468.7896331472143
19,4,2792.683218651251
53,2,1570.9316098798652
52,2,2111.910065005244
23,11,2575.790063867435
77,7,2471.910446951874
19,4,2548.8298564916445
62,5,3058.9689574477043
77,13,3074.9303320655777
18,5,2047.1532530313066
57,2,2261.077723413281
26,13,2862.030276967011
53,9,2499.2354776581988
74,6,1734.7195022524302
39,4,1954.7981408551946
75,13,2637.6287969790283
23,13,2941.9345357712245
73,13,2368.828498648873
48,13,1528.3185089346262
79,11,2713.89815693919
59,13,2065.5722549153356
72,10,1506.1365390760066
50,7,2589.61750340171
41,14,1970.5386616744017
77,1,1940.0264477138437
22,11,2572.815155517751
65,1,2794.1859749901446
29,7,1601.4495331655025
72,4,1935.622674177011
72,4,3520.1535216467573
71,2,3001.743280127451
21,10,2823.258257132465
54,6,2704.5755167145135
27,3,2899.4622313327995
45,13,1514.874090524268
48,3,1276.674225405491
23,14,3251.1714865089025
34,2,2069.6124220373554
47,5,1111.4199714690017
38,8,3076.186039968804
54,5,1747.3606082077395
53,2,1948.3473109833922
28,13,2115.0738751573895
46,13,1826.7491843313155
18,11,1928.284656478131
56,8,2278.7362960598407
22,6,2303.60209248764
77,14,2465.038826174567
47,13,1784.9206670171407
35,14,1266.5613103768558
62,11,2506.51935047326
26,4,2596.606241695885
45,11,2452.451306931419
18,3,2912.520500242073
44,12,2040.667493073035
63,3,2285.362632293333
45,4,2787.3891494891313
54,7,1916.1958515546216
27,11,2074.1629998641074
44,2,2001.6739537606747
50,4,3849.418730633103
62,1,2109.627305474792
66,11,2562.1478534056296
48,1,2075.486857131796
44,7,2712.4952329540397
34,11,2488.4313174485433
53,10,2183.44973428541
25,8,2633.3791661640244
43,2,3161.676487219709
54,1,2735.1551409598824
51,7,2806.75490331802
59,10,1456.6773291422994
28,9,3016.9619982578806
63,10,3132.30107464699
62,14,2180.4899262815657
43,6,3785.2040696606505
75,12,2566.394584217733
47,4,2556.0712632224195
73,11,3062.159037167341
70,1,2474.6824937881843
32,2,2124.459811444023
68,9,2074.693249672556
54,6,1718.4261035249133
22,10,1662.8624296530695
27,3,2497.812704041533
73,3,2464.1384765837297
34,4,2081.372754041501
54,4,3193.6081559845015
58,12,2585.9383261193784
58,3,2393.532832922856
51,6,2355.1795117698307
65,10,1923.603935369766
49,6,2399.7369951089217
24,5,3085.62530472292
45,8,1844.015186219011
33,10,2575.13477252061
79,1,1927.0340055185056
38,14,1907.818660435494
24,10,3038.523275062907
48,4,2517.5688050748004
24,4,2912.375820079948
25,14,2904.4585234664423
76,8,2465.6336748818144
54,13,1505.8165953345697
71,8,1953.2123466174062
63,12,1964.069601000561
77,7,2060.202640195131
32,4,3618.1415078448326
56,12,1379.3630208989136
79,8,2583.5389141565647
60,13,1919.7581048032182
21,6,1817.1578723385023
54,12,2374.943027943858
33,14,2904.7536605224414
70,13,2653.855528160313
67,11,3151.0212129223405
75,5,2646.961831590448
35,10,2791.0802907161956
26,2,2974.429838700271
65,9,2824.6300974982064
42,13,2305.1424258510096
62,4,1478.9321364845653
21,13,2170.9283104191363
75,4,2982.223558299099
43,6,2493.620813798481
37,10,2988.7355590824927
72,10,4420.583485466295
59,10,2725.96949041075
72,13,1714.3966675188317
51,9,3785.8677495014167
47,7,2679.492267527989
79,3,2348.586316655533
79,1,1867.2407066123778
23,1,2319.7399688946284
31,4,2571.118863076294
51,11,2382.729268447608
36,2,2040.711497733697
60,12,2479.412889926523
73,3,3261.9692254405404
74,12,2249.2765395388014
47,13,2854.416159783672
59,14,1412.3571939376197
78,5,3147.9027286427463
50,11,3882.304515540295
65,9,2358.2821568553536
19,9,3158.8588148222334
74,14,2789.404657778704
55,6,2622.751369854675
74,10,1684.1843214322703
24,9,2829.526742599689
30,14,2980.928387911629
76,3,1953.9466520587653
53,12,1951.8547112614337
46,14,2557.957321265231
64,9,1751.649397462551
57,10,2103.4993506883243
60,8,2124.852386591513
48,10,2124.521376761487
44,6,1710.1749552365168
24,7,2410.337535944419
32,2,2698.2581992981354
36,6,1921.855882770758
78,12,1736.9073486966454
39,10,2330.2659057374385
24,6,2559.2978897854796
52,7,2044.592593203302
74,9,2564.784976265155
60,13,2674.874684880836
54,8,3209.5599874253376
41,11,4263.537028903624
61,7,2551.464447319649
18,14,1859.3588042127367
55,14,2109.5394059418245
23,13,2151.177213255999
22,4,2581.0184150128525
62,6,1863.0581976273459
67,13,2819.045721995595
69,10,3149.47557385205
27,14,1902.3027939567664
66,1,1898.6024218087748
31,3,1675.830775501594
35,14,2529.549807853884
58,5,2136.8608814500385
72,12,2971.0038598375904
